,DISTRICT,Party,Active,Inactive
0,1,BLANK,128547.0,8436.0
1,1,CON,11778.0,643.0
2,1,DEM,144470.0,10086.0
3,1,GRE,1108.0,96.0
4,1,IND,23245.0,1545.0
5,1,OTH,394.0,28.0
6,1,REF,41.0,3.0
7,1,REP,162308.0,8290.0
8,1,WEP,150.0,5.0
9,1,WOR,2066.0,130.0
10,2,BLANK,114789.0,6832.0
11,2,CON,8457.0,428.0
12,2,DEM,159400.0,9440.0
13,2,GRE,830.0,61.0
14,2,IND,18008.0,1043.0
15,2,OTH,291.0,13.0
16,2,REF,43.0,3.0
17,2,REP,155996.0,7752.0
18,2,WEP,137.0,6.0
19,2,WOR,1712.0,119.0
20,3,BLANK,127907.0,8315.0
21,3,CON,5872.0,305.0
22,3,DEM,188902.0,12367.0
23,3,GRE,832.0,68.0
24,3,IND,19370.0,1255.0
25,3,OTH,228.0,16.0
26,3,REF,115.0,4.0
27,3,REP,148599.0,8835.0
28,3,WEP,144.0,3.0
29,3,WOR,1193.0,69.0
30,4,BLANK,113486.0,8442.0
31,4,CON,4911.0,315.0
32,4,DEM,204544.0,15085.0
33,4,GRE,888.0,74.0
34,4,IND,17455.0,1269.0
35,4,OTH,162.0,6.0
36,4,REF,173.0,2.0
37,4,REP,160861.0,10302.0
38,4,WEP,148.0,4.0
39,4,WOR,1286.0,119.0
40,5,BLANK,62106.0,4380.0
41,5,CON,1468.0,88.0
42,5,DEM,298385.0,20071.0
43,5,GRE,483.0,30.0
44,5,IND,8662.0,643.0
45,5,OTH,43.0,2.0
46,5,REF,27.0,3.0
47,5,REP,33244.0,2273.0
48,5,WEP,175.0,9.0
49,5,WOR,1251.0,126.0
50,6,BLANK,87250.0,6769.0
51,6,CON,1951.0,145.0
52,6,DEM,198024.0,15016.0
53,6,GRE,592.0,35.0
54,6,IND,8905.0,789.0
55,6,OTH,83.0,9.0
56,6,REF,38.0,0.0
57,6,REP,52511.0,3699.0
58,6,WEP,161.0,4.0
59,6,WOR,849.0,77.0
60,7,BLANK,67437.0,9357.0
61,7,CON,803.0,133.0
62,7,DEM,271911.0,31143.0
63,7,GRE,899.0,155.0
64,7,IND,6971.0,1166.0
65,7,OTH,113.0,20.0
66,7,REF,22.0,1.0
67,7,REP,22736.0,3355.0
68,7,WEP,203.0,10.0
69,7,WOR,1369.0,219.0
70,8,BLANK,62021.0,8419.0
71,8,CON,1122.0,141.0
72,8,DEM,324586.0,36652.0
73,8,GRE,713.0,109.0
74,8,IND,8649.0,1245.0
75,8,OTH,54.0,20.0
76,8,REF,25.0,2.0
77,8,REP,32846.0,3183.0
78,8,WEP,202.0,11.0
79,8,WOR,1666.0,271.0
80,9,BLANK,62772.0,8696.0
81,9,CON,1034.0,119.0
82,9,DEM,313949.0,33517.0
83,9,GRE,823.0,115.0
84,9,IND,7952.0,1160.0
85,9,OTH,90.0,11.0
86,9,REF,21.0,1.0
87,9,REP,30234.0,3184.0
88,9,WEP,139.0,8.0
89,9,WOR,1474.0,257.0
90,10,BLANK,79918.0,16564.0
91,10,CON,1128.0,177.0
92,10,DEM,247623.0,38988.0
93,10,GRE,743.0,143.0
94,10,IND,9287.0,2749.0
95,10,OTH,152.0,57.0
96,10,REF,24.0,0.0
97,10,REP,45926.0,9685.0
98,10,WEP,128.0,9.0
99,10,WOR,570.0,114.0
100,11,BLANK,88130.0,8107.0
101,11,CON,5299.0,409.0
102,11,DEM,183564.0,16846.0
103,11,GRE,654.0,69.0
104,11,IND,12817.0,1259.0
105,11,OTH,137.0,19.0
106,11,REF,67.0,2.0
107,11,REP,110062.0,7921.0
108,11,WEP,168.0,5.0
109,11,WOR,1362.0,187.0
110,12,BLANK,91923.0,20458.0
111,12,CON,883.0,200.0
112,12,DEM,259877.0,44238.0
113,12,GRE,1009.0,244.0
114,12,IND,13703.0,3629.0
115,12,OTH,210.0,87.0
116,12,REF,32.0,2.0
117,12,REP,54431.0,12638.0
118,12,WEP,128.0,10.0
119,12,WOR,622.0,136.0
120,13,BLANK,54421.0,11201.0
121,13,CON,738.0,154.0
122,13,DEM,327895.0,50766.0
123,13,GRE,840.0,167.0
124,13,IND,7730.0,1816.0
125,13,OTH,82.0,27.0
126,13,REF,37.0,1.0
127,13,REP,16808.0,3815.0
128,13,WEP,238.0,18.0
129,13,WOR,1235.0,304.0
130,14,BLANK,61960.0,6736.0
131,14,CON,1694.0,241.0
132,14,DEM,214570.0,21175.0
133,14,GRE,650.0,70.0
134,14,IND,7544.0,946.0
135,14,OTH,73.0,17.0
136,14,REF,28.0,0.0
137,14,REP,33020.0,3395.0
138,14,WEP,200.0,9.0
139,14,WOR,993.0,145.0
140,15,BLANK,46081.0,8909.0
141,15,CON,1069.0,203.0
142,15,DEM,282788.0,44336.0
143,15,GRE,426.0,53.0
144,15,IND,5539.0,1077.0
145,15,OTH,23.0,12.0
146,15,REF,37.0,1.0
147,15,REP,13663.0,2904.0
148,15,WEP,284.0,28.0
149,15,WOR,1509.0,393.0
150,16,BLANK,76433.0,9342.0
151,16,CON,4039.0,369.0
152,16,DEM,251841.0,29544.0
153,16,GRE,584.0,54.0
154,16,IND,12216.0,1430.0
155,16,OTH,92.0,16.0
156,16,REF,72.0,0.0
157,16,REP,62717.0,6369.0
158,16,WEP,153.0,6.0
159,16,WOR,1140.0,181.0
160,17,BLANK,106682.0,10190.0
161,17,CON,7728.0,520.0
162,17,DEM,201872.0,16792.0
163,17,GRE,807.0,110.0
164,17,IND,18013.0,1658.0
165,17,OTH,97.0,13.0
166,17,REF,206.0,3.0
167,17,REP,102969.0,8085.0
168,17,WEP,131.0,3.0
169,17,WOR,1393.0,134.0
170,18,BLANK,105443.0,9418.0
171,18,CON,8585.0,574.0
172,18,DEM,154331.0,12972.0
173,18,GRE,1126.0,133.0
174,18,IND,22973.0,1995.0
175,18,OTH,350.0,39.0
176,18,REF,104.0,4.0
177,18,REP,135552.0,9506.0
178,18,WEP,157.0,9.0
179,18,WOR,1764.0,196.0
180,19,BLANK,114937.0,10392.0
181,19,CON,10576.0,656.0
182,19,DEM,141289.0,11503.0
183,19,GRE,1867.0,209.0
184,19,IND,26423.0,2350.0
185,19,OTH,360.0,37.0
186,19,REF,85.0,4.0
187,19,REP,138473.0,8552.0
188,19,WEP,167.0,9.0
189,19,WOR,2155.0,245.0
190,20,BLANK,107500.0,11487.0
191,20,CON,10258.0,768.0
192,20,DEM,178650.0,17920.0
193,20,GRE,1452.0,189.0
194,20,IND,25382.0,2570.0
195,20,OTH,295.0,75.0
196,20,REF,99.0,1.0
197,20,REP,107575.0,7738.0
198,20,WEP,186.0,25.0
199,20,WOR,2098.0,353.0
200,21,BLANK,83284.0,10898.0
201,21,CON,5996.0,502.0
202,21,DEM,117878.0,10560.0
203,21,GRE,1243.0,175.0
204,21,IND,24589.0,2646.0
205,21,OTH,201.0,25.0
206,21,REF,65.0,8.0
207,21,REP,166307.0,11493.0
208,21,WEP,96.0,8.0
209,21,WOR,1589.0,245.0
210,22,BLANK,80746.0,8998.0
211,22,CON,6587.0,478.0
212,22,DEM,127765.0,11143.0
213,22,GRE,1179.0,144.0
214,22,IND,23179.0,2183.0
215,22,OTH,377.0,49.0
216,22,REF,90.0,11.0
217,22,REP,158621.0,9472.0
218,22,WEP,139.0,23.0
219,22,WOR,1818.0,262.0
220,23,BLANK,84173.0,9399.0
221,23,CON,7342.0,510.0
222,23,DEM,128565.0,11331.0
223,23,GRE,1452.0,196.0
224,23,IND,21646.0,2032.0
225,23,OTH,357.0,44.0
226,23,REF,93.0,8.0
227,23,REP,153949.0,8808.0
228,23,WEP,136.0,14.0
229,23,WOR,1986.0,232.0
230,24,BLANK,103922.0,12229.0
231,24,CON,8370.0,642.0
232,24,DEM,143319.0,15962.0
233,24,GRE,1394.0,211.0
234,24,IND,21997.0,2496.0
235,24,OTH,521.0,74.0
236,24,REF,55.0,6.0
237,24,REP,138353.0,9745.0
238,24,WEP,147.0,16.0
239,24,WOR,1844.0,325.0
240,25,BLANK,103153.0,8252.0
241,25,CON,7400.0,404.0
242,25,DEM,178181.0,15180.0
243,25,GRE,1180.0,158.0
244,25,IND,19377.0,1533.0
245,25,OTH,607.0,61.0
246,25,REF,43.0,3.0
247,25,REP,120433.0,6838.0
248,25,WEP,163.0,19.0
249,25,WOR,1404.0,146.0
250,26,BLANK,74621.0,8109.0
251,26,CON,7508.0,405.0
252,26,DEM,234929.0,19306.0
253,26,GRE,1351.0,155.0
254,26,IND,19155.0,1602.0
255,26,OTH,444.0,47.0
256,26,REF,87.0,7.0
257,26,REP,90506.0,5621.0
258,26,WEP,192.0,22.0
259,26,WOR,2372.0,284.0
260,27,BLANK,97801.0,6377.0
261,27,CON,12825.0,550.0
262,27,DEM,142703.0,7283.0
263,27,GRE,1337.0,102.0
264,27,IND,25525.0,1433.0
265,27,OTH,627.0,42.0
266,27,REF,73.0,0.0
267,27,REP,183641.0,7959.0
268,27,WEP,102.0,8.0
269,27,WOR,2299.0,165.0
